reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
US-10575,Walnut Woods State Conservation Area,39.2335,-94.3826,EM29tf,US-MO,24,24,638,0,0
US-10576,Rush Creek State Conservation Area,39.2498,-94.3922,EM29tf,US-MO,33,31,1003,0,0
US-10577,Pigg's Landing Access State Conservation Area,39.2211,-94.1571,EM29wf,US-MO,23,23,1180,0,0
US-10578,Schimmel City Access State Conservation Area,39.2916,-94.8189,EM29og,US-MO,38,38,1703,0,0
US-10579,Dr. Frederick Marshall State Conservation Area,39.3229,-94.8248,EM29oh,US-MO,41,41,2025,0,0
US-10580,Wagner State Conservation Area,39.3856,-93.8955,EM39bj,US-MO,14,14,635,0,0
US-10581,La Due Bottoms State Conservation Area,38.3037,-93.8782,EM38bh,US-MO,12,12,421,0,0
US-10582,Kearn Memorial State Conservation Area,38.6005,-93.4724,EM38go,US-MO,22,22,661,0,0
US-10583,Bryson's Hope State Conservation Area,38.5885,-93.4728,EM38go,US-MO,23,23,759,0,0
US-10584,Gama Grass Prairie State Conservation Area,38.0259,-94.3913,EM28ta,US-MO,20,20,568,0,0
US-10585,Kneib Memorial State Conservation Area,39.7187,-94.932,EM29mr,US-MO,13,13,415,0,0
US-10586,Youngdahl Urban State Conservation Area,39.7657,-94.8146,EM29os,US-MO,24,23,763,0,0
US-10587,Blue Lick State Conservation Area,39.0094,-93.2234,EM39ja,US-MO,14,14,394,0,0
US-10588,Branford-Bend State Conservation Area,29.9665,-82.9445,EL89mx,US-FL,11,11,316,0,0
US-10589,Friendly Prairie State Conservation Area,38.5503,-93.2989,EM38in,US-MO,23,23,490,0,0
US-10590,Lake Alto State Conservation Area,29.8288,-82.1347,EL89wt,US-FL,27,27,745,0,0
US-10591,Steinhatchee Rise State Conservation Area,29.6822,-83.3363,EL89hq,US-FL,14,12,275,0,0
US-10592,Big Pine Tract State Conservation Area,30.3242,-82.7689,EM80oh,US-FL,28,28,836,0,0
US-10593,New Pine Landing State Conservation Area,29.5236,-82.9729,EL89mm,US-FL,12,12,280,0,0
US-10594,Manatee Springs South State Conservation Area,29.4628,-82.9834,EL89ml,US-FL,14,14,501,0,0
US-10595,Knob Lick State Conservation Area,37.6637,-90.3848,EM47tp,US-MO,21,21,669,0,0
US-10596,Spring Creek Gap State Conservation Area,38.1403,-91.8087,EM48cd,US-MO,14,14,605,0,0
